StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7_NPS_GROUP,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Online grocery shopping is buying food and other household necessities using a online shopping service which includes home delivery or curbside pick up. 
 

Starting February 2020, Did you used a web-based shopping service to buy grocery?",What is your age?,Gender,What is the highest degree or level of school you have completed?,Employment status,"What online shopping service do you prefer for your grocery shopping? 
 

Please, provide Store name, App name or website name.",How would you rate your overall experience with online grocery shopping services? - Group,How would you rate your overall experience with online grocery shopping services?,Online grocery shopping provides a wider range of products,"Using online grocery services, I am able to find all the items that I needed","Since the pandemic started, the products unavailable in stores were available online",COVID-19 regulations and safety guidelines put forth by local and federal authorities encourage me to use online grocery shopping services,"Because of all the COVID-19 restrictions, I felt the need to buy online grocery","During the COVID-19 pandemic, going to the grocery store is a risk for my health",I feel risky to go inside the grocery store even with a face mask and maintain social distance,The groceries bought online are of good quality,The groceries bought online are fresh,The groceries bought online meet my expectations,Online grocery shopping helps me save time,I am satisfied with the time between placement and receiving my online grocery order,Online grocery shopping services are accessible in my area,It is easy to get help from customer service when I shop for grocery online,Online grocery shopping helps me save money,"On average, the products that I buy using online grocery services are cheaper",I am most likely to find better deals on grocery using online grocery services,The COVID-19 pandemic had an impact on my intention to use online grocery shopping services,I intent to keep buy groceries using online services
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10_NPS_GROUP""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID29""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID25""}","{""ImportId"":""QID30""}","{""ImportId"":""QID18""}","{""ImportId"":""QID31""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID24""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}"
11/9/20 23:53,11/9/20 23:53,Survey Preview,,100,13,TRUE,11/9/20 23:53,R_1ps0VLIKs4vHchb,,,,,32.91029358,-96.728302,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20 15:39,11/12/20 15:42,IP Address,75.17.224.126,100,173,TRUE,11/12/20 15:42,R_dmYDTvdWhjBFl97,,,,,32.91029358,-96.728302,anonymous,EN,Yes,30,Male,Bachelor's degree,Student,Target,Promoter,10,Agree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree
11/12/20 15:43,11/12/20 15:46,IP Address,70.120.201.141,100,213,TRUE,11/12/20 15:46,R_2THJMZGTYxnb90v,,,,,32.87559509,-96.74949646,anonymous,EN,Yes,23,Male,Master's degree,Student,Walmart,Passive,8,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree
11/12/20 15:49,11/12/20 15:52,IP Address,104.222.24.129,100,178,TRUE,11/12/20 15:52,R_21sMs2V1PncBlWh,,,,,32.46820068,-99.71820068,anonymous,EN,Yes,21,Prefer not to mention,Bachelor's degree,Unemployed,TaoBao,Promoter,10,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
11/12/20 15:49,11/12/20 15:56,IP Address,76.116.64.6,100,382,TRUE,11/12/20 15:56,R_3QJKXQgKXtVzn2O,,,,,40.71820068,-74.04759979,anonymous,EN,Yes,24,Male,Master's degree,Unemployed,Freshgogo,Promoter,9,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
11/12/20 15:52,11/12/20 15:56,IP Address,68.252.126.244,100,232,TRUE,11/12/20 15:56,R_1InibcIfVqdNdAM,,,,,32.85949707,-117.2124023,anonymous,EN,Yes,23,Male,Bachelor's degree,Employed,Amazon,Promoter,9,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree
11/12/20 15:51,11/12/20 15:57,IP Address,101.85.124.69,100,322,TRUE,11/12/20 15:57,R_1pFMIrce5LXNm1G,,,,,31.04490662,121.4012146,anonymous,EN,Yes,23,Male,Master's degree,Unemployed,Amazon,Passive,7,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree
11/12/20 15:56,11/12/20 16:02,IP Address,174.225.131.75,100,359,TRUE,11/12/20 16:02,R_2CCCx3T3A5VNU7o,,,,,40.38459778,-74.17539978,anonymous,EN,Yes,21,Female,High school,Student,freshgogo,Detractor,6,Disagree,Disagree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Agree,Disagree,Agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Agree,Somewhat agree
